,Municipality,Prefecture_Coefficient,Prefecture_Accuracy,Municipality_Coefficient,Municipality_Accuracy
0,"Chuo Ward,Sapporo City",0.991408393435245,0.4552832532900411,1.0384146562541883,0.2883335621989279
1,"Kita Ward,Sapporo City",1.009612044099148,0.24268595819089728,1.0553715903510041,0.2253099045676907
2,"Higashi Ward,Sapporo City",0.9687995594697234,0.17180997868569436,1.0472238892604593,0.1730303899905923
3,"Shiroishi Ward,Sapporo City",0.9653752976446729,0.1955714395433135,1.0353852720296193,0.16479867551431115
4,"Toyohira Ward,Sapporo City",0.9517422567888643,0.1721556659986099,1.0263007199011283,0.21219695265177196
5,"Minami Ward,Sapporo City",0.9967531393233118,0.28312397538474865,1.0,0.27543743150485994
6,"Nishi Ward,Sapporo City",0.9746081507130113,0.21856194759126715,1.024905968790667,0.19542972885512078
7,"Atsubetsu Ward,Sapporo City",1.0195508528466308,0.21787296860808145,1.033391706677078,0.1965760045408094
8,"Teine Ward,Sapporo City",1.0,0.2342182133906997,1.0831818776881366,0.22075457140972413
9,"Kiyota Ward,Sapporo City",1.0,0.19850401753019384,1.0,0.1806978131418792
10,Hakodate City,0.9183831402498208,0.3419711060232945,0.9267832017951613,0.35136483766828486
11,Otaru City,0.8234297362255437,0.4943625013018841,0.9567396827678659,0.4391417334446889
12,Asahikawa City,0.9602592976029487,0.2671479620826711,0.9131790146578392,0.2673064353483461
13,Muroran City,1.0,0.34892189174916904,0.7217297914360444,0.2931455886295474
14,Kushiro City,1.0710744712827172,0.38009954274882696,1.0640698873697072,0.3553040405052255
15,Obihiro City,1.0,0.34367566675824474,1.0,0.34425606542956527
16,Kitami City,0.9555698387378049,0.3220202669588166,0.859143645943038,0.33512394426405556
17,Yubari City,1.0,0.14459806370588102,1.1272927145320384,0.3056917704344573
18,Iwamizawa City,1.0,0.2550186743416302,0.9921642155900171,0.3967544378312651
19,Abashiri City,0.9219499679899261,0.2650728833327613,0.8309658975909054,0.9410620269544258
20,Rumoi City,0.4891320986453588,2.0137229836362986,0.4716570935520854,1.199386906956205
21,Tomakomai City,1.0711781485588323,0.23894573700604216,1.0,0.22589849089317568
22,Wakkanai City,0.6264974309539431,0.5831070251973081,0.39602293042596337,0.5963042509355376
23,Bibai City,0.68154857570488,0.27382036996289155,1.0,0.6320632246274682
24,Ashibetsu City,1.2372672711636687,0.8880793845104726,0.8660056840880831,0.9219943522708207
25,Ebetsu City,1.0333745205299656,0.2580197294811323,1.0,0.24516921807006883
26,Akabira City,1.0,0.5787196196867495,1.0070757772353813,0.36353600606632963
27,Monbetsu City,1.0195320008905515,0.6066624975966172,1.1172228532812551,0.46681052272149065
28,Shibetsu City,0.39634045175785926,1.2395871543297496,0.4930559092260961,1.7907141292969984
29,Nayoro City,1.0,0.37955365799047946,1.0024385556430313,0.5207769713311778
30,Mikasa City,1.0,0.12485720257104493,1.6044234143834066,0.4316891729499205
31,Nemuro City,1.0,0.38166889866882375,1.1235071435599338,0.36460521048847944
32,Chitose City,1.0,0.4015982449061223,1.0,0.41948079810025346
33,Takikawa City,0.9431253059655628,0.3837102952942797,0.9527572171554436,0.2830309425080587
34,Sunagawa City,0.8581543105973116,0.17808446669621406,0.9484780225100339,0.21750314469506424
35,Utashinai City,1.706149333010119,0.7468741053306165,1.1225327349000316,0.7414945484981564
36,Fukagawa City,0.8143689752106431,0.34209140973816626,0.5832276320613257,0.4532519152262277
37,Furano City,1.0716382076270579,0.20034853269216465,0.9631554698024913,0.3781982647176672
38,Noboribetsu City,1.0134874565378647,0.2770922452974899,1.0,0.2968989887846093
39,Eniwa City,1.0,0.2451231823425561,1.166527554451191,0.26383821853004713
40,Date City,1.1358052238976732,0.32379770933729374,0.9186077588905716,0.31315874202407523
41,Kitahiroshima City,1.0786884050665617,0.26619336002619354,1.0773946556620486,0.2774374445900307
42,Ishikari City,0.9873531438923835,0.1877969377102343,0.9785314094940837,0.13609002594183905
43,Hokuto City,1.0180494036959808,0.15549345571146983,1.0660284704964575,0.2244824169457899
44,"Tobetsu Town,Ishikari County",0.6258543800667103,0.43535106594055367,0.8366420665028159,0.9364679994369666
45,"Fukushima Town,Matsumae County",0.9641235351361357,0.5152292395883018,0.999126774106005,1.145785378058626
46,"Kikonai Town,Kamiiso County",1.0,0.40881782695683916,0.9418467556655881,0.8030120921123062
47,"Nanae Town,Kameda County",0.9117118771131647,0.41400806891619873,0.944313561593713,0.42554127799551705
48,"Mori Town,Kayabe County",0.7503230922581645,0.2537101970423735,0.9367969741154445,0.4325292901230681
49,"Yakumo Town,Futami County",0.7310795640394279,0.25541104228996797,0.9089929719118216,0.34933746139964933
50,"Oshamanbe Town,Yamakoshi County",0.9690274678109507,0.0025062085028293934,0.890755225858659,0.9488366471650842
51,"Esashi Town,Hiyama County",1.1786582071064289,0.1150506994602549,0.9999999983720734,0.3911682738298966
52,"Imakane Town,Setana County",0.9186964955782309,0.0005212399569922126,0.9936175511759855,0.531982290451536
53,"Setana Town,Kudo County",1.0479361365539244,0.00011542286943827217,1.0171491906906467,0.0552807708982832
54,"Niseko Town,Abuta County",1.0,0.4605364124847594,0.9999999886974963,0.41301977137997253
55,"Kutchan Town,Abuta County",2.261448173821364,0.46165988810721365,1.7518315825719957,0.5959895560432177
56,"Kyowa Town,Iwanai County",0.5618848848411854,0.8144137016136781,0.8485327459098337,0.8648067768088504
57,"Iwanai Town,Iwanai County",0.9361550141952166,0.4445310143369893,0.984648724297343,0.19084033789172164
58,"Furubira Town,Furubira County",0.9127064445412248,0.0007742943983571598,0.7766494587564506,0.8467139392060381
59,"Yoichi Town,Yoichi County",0.6282682225550309,0.9596358782998758,1.0,0.6265141795277428
60,"Nanporo Town,Sorachi County",1.0362525337937458,0.12695003799985893,1.0042986904100961,0.11816228957580847
61,"Naie Town,Sorachi County",1.054818241847568,5.990212465658296,1.0,9.4958866525939
62,"Naganuma Town,Yubari County",1.0,0.17360847628537276,1.0,0.30441482035515116
63,"Kuriyama Town,Yubari County",0.5869633090376023,0.01728152171603148,0.598899870764673,0.0005770427656142276
64,"Shintotsukawa Town,Kabato County",1.227540175560291,0.01513401149622617,0.9055419767039875,0.8684124524218291
65,"Takasu Town,Kamikawa County",1.0,0.3511118774381784,1.0296271501082626,0.3142057235937834
66,"Higashikagura Town,Kamikawa County",0.9167803053839224,0.42664330334325007,0.9845153544636852,0.6746620909830795
