,Municipality,General_Coefficient,General_Accuracy,Prefecture_Coefficient,Prefecture_Accuracy,Municipality_Coefficient,Municipality_Accuracy
0,"Chuo Ward,Sapporo City",1.171756531180538,0.18656914502516195,1.1707873968666915,0.1880799498847414,1.1622299177149156,0.18683431844810264
1,"Kita Ward,Sapporo City",1.0417785926782417,0.250302715088543,1.0191310728153036,0.2515155381549485,1.1531647200350208,0.2182537816872222
2,"Higashi Ward,Sapporo City",1.2584816904824607,0.18908400317586718,1.278855046780011,0.18296593171857464,1.2307007987653986,0.1885006737586082
3,"Shiroishi Ward,Sapporo City",1.1979650976770624,0.16739046239301583,1.185968364219293,0.1675581450481762,1.2214375574666072,0.17455331957726647
4,"Toyohira Ward,Sapporo City",1.4034267218005814,0.2025240646622818,1.3915567446474832,0.19547912010058488,1.3717116233893305,0.18978793287200327
5,"Minami Ward,Sapporo City",1.2049559350696517,0.21770271243717904,1.1949043259858485,0.21780622618894335,1.0883038090708534,0.21918607264760986
6,"Nishi Ward,Sapporo City",1.115620852111324,0.25507103448676965,1.0963898590394612,0.2591587304220218,1.0590168040944186,0.25458961188161106
7,"Atsubetsu Ward,Sapporo City",1.1907437019361442,0.1645492272728983,1.1606469401076738,0.16106232856105535,1.134447666483031,0.14181864586630716
8,"Teine Ward,Sapporo City",1.3091675081290062,0.13157428070611307,1.2968217761784546,0.1293987466387983,1.2835597437647284,0.1821739147445707
9,"Kiyota Ward,Sapporo City",1.0,0.12229570825550116,1.0,0.13710042057238755,1.0441460054734963,0.09375074295531234
10,Hakodate City,0.9475590778889232,0.19269859837253672,0.9649117593255851,0.19567567655258816,1.0043450214991343,0.21229476690433607
11,Otaru City,1.0,0.28973339940486675,1.0,0.2910998670667573,1.0,0.29472672367073866
12,Asahikawa City,1.0,0.3083696931384412,1.0,0.2911983844708152,1.0,0.2972719362111422
13,Kushiro City,1.005983375748209,0.2200203245983756,1.015440329681007,0.2333393204212614,1.0652096586334023,0.17747051729203525
14,Obihiro City,1.0258727913651613,0.12498714326217279,1.033708088816231,0.1304209373354657,1.0,0.18060293832995686
15,Kitami City,0.9999999928765618,0.2798788441512937,0.9999999926780845,0.2815729419125032,1.0,0.43614918840237776
16,Tomakomai City,0.9435994964011635,0.11623951962518038,1.0,0.10739810311044759,1.0,0.14268960143377615
17,Ebetsu City,1.2722191616684977,0.08559852588783995,1.2710515942799145,0.09111087012839292,1.2928128652591828,0.22469341328103837
18,Aomori City,1.1285746514694788,0.2002353017848302,1.1608535890396376,0.16711227094692213,1.0595993469053202,0.1645075087734737
19,Hirosaki City,0.733149747765771,0.18299578795741558,0.819830207232362,0.15303876321221083,0.7977655325686646,0.2324130967396933
20,Hachinohe City,1.0,0.051267860260445,0.9648026368681322,0.06217819415970455,1.0071283634011519,0.0414482036021775
21,Morioka City,1.1353660339719538,0.21783700733573186,1.1053868126756095,0.2035183634831382,1.1014689537365159,0.20376187606004598
22,Ichinoseki City,0.9999999993144695,0.09838443968504097,0.9999999982042945,0.0890062915795539,0.999999999251315,0.09417161208119713
23,Hanamaki City,0.9999999920634618,0.043016489147416646,0.9999999934924622,0.0008796842584042438,0.9999999901883007,0.07897133270325829
24,Oshu City,1.0304209514543023,0.012830556856666273,1.1487311302335055,6.542260225371205e-05,1.1470643148886701,0.3759664492905148
25,"Aoba Ward,Sendai City",1.1371540211651765,0.20863047287574818,1.1760012983921624,0.2075535345209172,1.1469740449598431,0.20624153598447087
26,"Miyagino Ward,Sendai City",1.0795471550497,0.1536970916640159,1.0991510738140224,0.1588880054344176,1.1279467825096627,0.16850071415071308
27,"Wakabayashi Ward,Sendai City",1.136586304782031,0.20716625764905844,1.175598704208552,0.18591160601302753,1.11409917873947,0.24076275591001534
28,"Taihaku Ward,Sendai City",1.0195114506266771,0.1662903132584881,1.0612153000849303,0.16980972124524069,1.0353295424354358,0.16964523895122569
29,"Izumi Ward,Sendai City",1.124903487701505,0.1358306685200232,1.0875376605789016,0.12773897865075018,1.1088862407438254,0.1291289049172782
30,Ishinomaki City,0.915710445747068,0.3660221265890354,0.8436656715017965,0.3775561761230256,1.0,0.2477451791678277
31,Osaki City,1.0,0.3301678386746938,1.0,0.25273634766206965,1.0,0.15079373890321787
32,Shiogama City,1.0,9999.0,1.0,9999.0,1.0,9999.0
33,Natori City,1.0,9999.0,1.0,9999.0,1.0,9999.0
34,Tagajo City,1.0,0.1076895298035336,1.0,0.10482116113974026,1.0,0.37494202353177175
35,Iwanuma City,1.0,9999.0,1.0,9999.0,1.0,9999.0
36,"Matsushima Town,Miyagi County",1.0,9999.0,1.0,9999.0,1.0,9999.0
37,"Shichigahama Town,Miyagi County",1.0,9999.0,1.0,9999.0,1.0,9999.0
38,Akita City,0.9579892049501869,0.22319337135433776,0.958600158997965,0.20193812860380944,0.9592251349034899,0.20168163527095864
39,Yokote City,1.0,9999.0,1.0,9999.0,1.0,9999.0
40,Yamagata City,0.9906218379391694,0.2944116101791237,1.2788821146486509,0.29750172975293854,1.2984724912831933,0.29557558950753704
41,Tsuruoka City,1.0,0.03162456895996133,1.0,0.07922924669489138,0.999999999369686,1.0852150664147401e-05
42,Sakata City,0.9934553978360006,0.5533981437536141,0.9802752048917147,0.46675056633967327,0.9740339685631099,0.3892026827434315
43,Fukushima City,1.0074770462804237,0.21441781911141639,1.0845476383887833,0.2160794965259983,1.0774693260404418,0.20026160818876226
44,Aizuwakamatsu City,1.0025583312950588,0.2684484846877373,1.0,0.35368994367594075,0.9919698425091398,0.1349113905953981
45,Koriyama City,1.1189921455121097,0.1485326924858433,1.1486527980299854,0.17262978678757382,1.0627016218302145,0.18267045287164843
46,Iwaki City,1.0,0.1535603924422314,1.0,0.2016494001942475,1.0,0.2698875679393485
47,Chiyoda Ward,1.2189632111847493,0.1820438410318612,1.2294517192176488,0.1819462895237584,1.2129895890713607,0.17348481905772747
48,Chuo Ward,1.1434827501594722,0.11315237516644994,1.1484789468410883,0.1101566842980479,1.1436458831017124,0.11111447225251553
49,Minato Ward,1.2259333950608047,0.23221803598693835,1.2165923038111806,0.235846274575403,1.2402257266124415,0.20746857623730222
50,Shinjuku Ward,1.2170354272320678,0.1476360887690781,1.224199327114164,0.14648534698646468,1.2258124086244537,0.14052202209008025
51,Bunkyo Ward,1.2065092412293628,0.14508666812324403,1.2087329167483187,0.14369849648544603,1.2212546524343375,0.13037986929137582
52,Taito Ward,1.1671580933018995,0.1305869326814456,1.1701371073271438,0.12842861383091841,1.1380494751515744,0.13286965111050625
53,Sumida Ward,1.0613618090106036,0.1410043696837144,1.0680787196763828,0.13719541488076853,1.1136323185550463,0.14367833478394043
54,Koto Ward,1.0547362612563533,0.12125637616256439,1.081701353341812,0.1175347748432668,1.089399467324344,0.1185661163733357
55,Shinagawa Ward,1.1893196233326233,0.14114036322295265,1.1913831853585115,0.1370127292761104,1.1746594489179623,0.13902615983477884
56,Meguro Ward,1.0910978937086155,0.17016749685420773,1.1175390248219674,0.1658988858154213,1.1609089450363634,0.1318202294709662
57,Ota Ward,1.12344156201653,0.1397133935000407,1.1255871782200422,0.13552242070375448,1.135733189842629,0.13124466234404325
58,Setagaya Ward,1.0506848841541565,0.1455293609772343,1.0631843911534773,0.14339969069432298,1.0683805548349374,0.13000485164973205
59,Shibuya Ward,1.1417652158599498,0.15632918339547316,1.1777547186420634,0.14891608648772356,1.2074270626346355,0.13179101995994794
60,Nakano Ward,1.1374777896669834,0.14309417009924488,1.15514945008973,0.14247290249483555,1.1617517024658193,0.13785478234877377
61,Suginami Ward,1.100252594545654,0.13973207365546716,1.1203215440294274,0.1369584944633275,1.1038881488748045,0.1404122483805394
62,Toshima Ward,1.1610421209527773,0.11834539063272584,1.172571645829928,0.11714501176624166,1.1599015178712142,0.11668799944529733
63,Kita Ward,1.096253709667384,0.1391866017016503,1.0954066469021249,0.13620773804884587,1.1162396380377655,0.13448642202963834
64,Arakawa Ward,1.1334992943921036,0.1287639267369593,1.1437045085686472,0.12407642964857764,1.1590740953676668,0.12595641540805003
65,Itabashi Ward,1.07767863046778,0.18000912469176655,1.117356364382637,0.17788953652367223,1.1154797901288047,0.1806081525340646
66,Nerima Ward,1.0782195611847507,0.15791647181789184,1.0796239111166748,0.1569319415839263,1.086585779538516,0.14966884654466028
67,Adachi Ward,1.1423515345222066,0.16278075507739723,1.1464907534863424,0.1636319341387416,1.127999489816366,0.15864537101316648
68,Katsushika Ward,1.0611255186932451,0.15276099613059466,1.0905451732296916,0.15061303459403275,1.078823423328824,0.1483369586742607
69,Edogawa Ward,1.0214612334191646,0.1530348187732773,1.0312050121509384,0.1514533972068101,1.0750391287179875,0.1344506421460401
70,Hachioji City,0.9883947858460419,0.1932099498888784,0.998594191330402,0.19830274345429538,0.9833105760089916,0.17990769174269175
71,Tachikawa City,1.0479882183280749,0.22024555150801975,1.062207231424102,0.2009240146780658,1.0141570577430963,0.20599722893416686
72,Musashino City,1.0633355262355217,0.15271300893222237,1.0669518529023314,0.15945995557519074,1.0962611080820461,0.1065897828661134
73,Mitaka City,1.0,0.15032820350949938,1.0,0.1499659630188958,1.0734794673081842,0.13798075332219115
74,Oume City,1.0,0.3158166863942752,1.000231334456117,0.3252873095064643,1.0,0.2867635982679087
75,Fuchu City,1.0,0.17435012328457286,1.0,0.170556739950126,1.0579264935139263,0.1675522280205704
76,Akishima City,1.1359867806140878,0.09085137239087479,1.1523471422514684,0.08945212622165395,1.0895716440899843,0.08476226671353797
77,Chofu City,1.0,0.16462153022540502,1.0,0.15444801259854773,1.0055532732950014,0.1224465829646456
78,Machida City,1.0,0.14132692640851663,1.0743218908169556,0.14533624264796577,1.0092153797284982,0.12074560463690223
79,Koganei City,1.0884685778044085,0.1225803304893921,1.1022686238610147,0.12342370574615331,1.1348040885128028,0.12714969125522177
